No;Latitude;longitude;Lokasi;Tanggal;aD;aL;DAz;Lag;w;lluminasi (%);Suhu_Atmosfer_C;Kelembapan_Pct;Kecepatan_Angin_ms;Kondisi_Awan_Pct;Transparansi_Index;Visibility
433;-6.857911111;109.6921028;Pelabuhan PPNP Pekalongan;10/02/2024;7.18;8.08;0.38;30.54;0.13;0.38;25.61316413;77.45223055;3.639912815;88.64082752;0.57;0
434;-6.906566667;109.7339583;Batang, JawaTengah;10/02/2024;7.18;8.08;0.37;30.54;0.13;0.38;27.48;70.77752129;2.61;32.29032767;0.57;0
435;-8.016177778;110.3233639;POB Syekh Belabelu Bantul;10/02/2024;7.18;8.07;0.21;30.58;0.13;0.38;28.17;63.23107518;2.77;63.92806939;0.7;0
436;-6.806277778;108.7307778;Pantai Baro Gebang;10/02/2024;7.22;8.11;0.37;30.67;0.13;0.39;28.02;69.79893689;2.31;49.01115335;0.62;0
437;-6.318363889;106.9963222;"Masjid JamieasSurur,
Bekasi, JawaBarat";10/02/2024;7.27;8.17;0.41;30.87;0.13;0.39;29.29;60.13096296;3.22;68.98852616;0.55;0
438;-6.224522222;106.7679583;"Pondok PesantrenalFalah
Jakbar,DKI Jakarta";10/02/2024;7.27;8.17;0.42;30.90;0.13;0.39;29.75;61.13945132;3.9;69.54471524;0.55;0
439;-7.073925;106.5314167;POB Cibeas, Pelabuhan Ratu;10/02/2024;7.30;8.19;0.28;31.02;0.13;0.39;26.37382204;89.51745261;2.807274911;81.488139;0.61;0
440;-6.522072222;107.2221389;Masjid Daarul Muttaqien;10/02/2024;7.26;8.16;0.38;30.86;0.13;0.39;25.42703553;77.18473569;5.406848685;82.84139694;0.62;0
441;5.466572222;95.242275;Obs Tgk Chiek Kuta Karang Lhoknga, AcehBesar;10/02/2024;7.33;8.46;2.03;31.33;0.14;0.43;30.99;73.38782546;5.65;49.76125756;0.67;0
442;-1.767777778;120.5283333;GedungHilalBMKGDesaMarana;10/03/2024;0.93;2.30;1.71;2.14;0.01;0.02;24.1766595;80.41006846;1.180943576;75.80567407;0.61;0
443;-7.707975;111.5529861;Dagangan, Madiun;10/03/2024;1.35;2.40;1.32;4.12;0.01;0.02;26.02833587;81.80270239;3.812329327;75.86493002;0.51;0
444;-8.078011111;111.9272;Gedung  UIN Tulungagung;10/03/2024;1.35;2.40;1.32;4.12;0.01;0.02;26.85921072;79.35971202;3.71851718;82.09727765;0.28;0
445;-6.918383333;110.2872083;Pelabuhan Tanjung;10/03/2024;1.37;2.42;1.32;4.21;0.01;0.02;24.37297721;84.87602884;4.132624664;87.13870902;0.35;0
446;-6.909997222;109.7153194;ROOF TOP GDPP Rifaiyah,Batang;10/03/2024;1.38;2.43;1.31;4.28;0.01;0.02;23.28129014;96.08698262;6.124207606;99.10330096;0.3;0
447;-7.16975;112.6174694;Balai Rukyat NU Condrodipo;10/03/2024;1.31;2.39;1.37;3.92;0.01;0.02;26.34351796;84.17763306;3.277224109;88.62396903;0.44;0
448;-6.806277778;108.7307778;Pantai Baro Gebang;10/03/2024;1.41;2.44;1.29;4.40;0.01;0.02;23.78838433;96.00094836;5.377568916;97.75880467;0.18;0
449;-6.322255556;106.70795;Menara Masjid AlItishom Walikota Tangerang Selatan;10/03/2024;1.46;2.47;1.26;4.63;0.01;0.02;25.34406313;77.6185782;4.990161549;87.83623214;0.34;0
450;-7.70375;108.6553833;Pantai Barat Pangandaran;10/03/2024;1.43;2.44;1.25;4.51;0.01;0.02;28.56832371;79.75044798;3.552515937;85.15040413;0.45;0
451;-7.16975;112.6174694;Balai Rukyat Ibnu Syatir;10/03/2024;1.31;2.39;1.37;3.92;0.01;0.02;26.22805789;86.5466833;2.409895702;81.83172093;0.44;0
452;-7.457266667;112.7222167;RSI Siti Hajar Sidoarjo;10/03/2024;1.31;2.39;1.36;3.94;0.01;0.02;26.65931401;81.85950196;3.267143416;83.2382524;0.44;0
453;-6.866597222;112.3577417;Tanjung Kodok;10/03/2024;1.31;2.39;1.37;3.92;0.01;0.02;28.01308771;82.43630631;2.741959875;86.95274827;0.45;0
454;-7.15425;113.4739111;OBS Jokotole IAIN Madura;10/03/2024;1.28;2.38;1.39;3.80;0.01;0.02;28.34;65.55033444;2.36;60.09468818;0.36;0
455;5.466572222;95.242275;Obs Tgk Chiek Kuta Karang Lhoknga, AcehBesar;10/03/2024;1.54;2.68;1.51;5.01;0.01;0.03;30.65;65.91610197;2.98;35.31497836;0.68;0
